Table of dimensions of level N homology over Q(sqrt(-47))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
47	2	1.1	 1	4   0		4   0
47	2	2.1	 2	9   0		9   0
47	2	2.2	 2	9   0		9   0
47	2	3.1	 3	9   0		9   0
47	2	3.2	 3	9   0		9   0
47	2	4.1	 4	14   0		14   0
47	2	4.2	 4	20   1		19   0
47	2	4.3	 4	14   0		14   0
47	2	6.1	 6	20   1		20   1
47	2	6.2	 6	19   0		19   0
47	2	6.3	 6	19   0		19   0
47	2	6.4	 6	20   1		20   1
47	2	7.1	 7	9   0		9   0
47	2	7.2	 7	9   0		9   0
47	2	8.1	 8	19   0		19   0
47	2	8.2	 8	31   2		29   0
47	2	8.3	 8	31   2		29   0
47	2	8.4	 8	19   0		19   0
47	2	9.1	 9	19   0		14   0
47	2	9.2	 9	22   3		19   0
47	2	9.3	 9	19   0		14   0
47	2	12.1	 12	31   2		31   2
47	2	12.2	 12	29   0		29   0
47	2	12.3	 12	45   6		42   3
47	2	12.4	 12	45   6		42   3
47	2	12.5	 12	29   0		29   0
47	2	12.6	 12	31   2		31   2
47	2	14.1	 14	20   1		19   0
47	2	14.2	 14	19   0		19   0
47	2	14.3	 14	19   0		19   0
47	2	14.4	 14	20   1		19   0
47	2	16.1	 16	29   0		24   0
47	2	16.2	 16	42   3		39   0
47	2	16.3	 16	50   6		44   0
47	2	16.4	 16	42   3		39   0
47	2	16.5	 16	29   0		24   0
47	2	17.1	 17	10   1		10   1
47	2	17.2	 17	10   1		10   1
47	2	18.1	 18	42   3		31   2
47	2	18.2	 18	47   8		41   2
47	2	18.3	 18	39   0		29   0
47	2	18.4	 18	39   0		29   0
47	2	18.5	 18	47   8		41   2
47	2	18.6	 18	42   3		31   2
47	2	21.1	 21	19   0		19   0
47	2	21.2	 21	19   0		19   0
47	2	21.3	 21	19   0		19   0
47	2	21.4	 21	19   0		19   0
47	2	24.1	 24	42   3		42   3
47	2	24.2	 24	39   0		39   0
47	2	24.3	 24	71   12		65   6
47	2	24.4	 24	70   11		64   5
47	2	24.5	 24	70   11		64   5
47	2	24.6	 24	71   12		65   6
47	2	24.7	 24	39   0		39   0
47	2	24.8	 24	42   3		42   3
47	2	25.1	 25	16   7		9   0
47	2	27.1	 27	29   0		19   0
47	2	27.2	 27	48   9		32   3
47	2	27.3	 27	48   9		32   3
47	2	27.4	 27	29   0		19   0
47	2	28.1	 28	31   2		29   0
47	2	28.2	 28	29   0		29   0
47	2	28.3	 28	43   4		39   0
47	2	28.4	 28	43   4		39   0
47	2	28.5	 28	29   0		29   0
47	2	28.6	 28	31   2		29   0
47	2	32.1	 32	39   0		29   0
47	2	32.2	 32	64   5		50   1
47	2	32.3	 32	69   10		59   0
47	2	32.4	 32	69   10		59   0
47	2	32.5	 32	64   5		50   1
47	2	32.6	 32	39   0		29   0
47	2	34.1	 34	21   2		21   2
47	2	34.2	 34	21   2		21   2
47	2	34.3	 34	21   2		21   2
47	2	34.4	 34	21   2		21   2
47	2	36.1	 36	65   6		48   4
47	2	36.2	 36	73   14		64   5
47	2	36.3	 36	59   0		44   0
47	2	36.4	 36	95   16		67   8
47	2	36.5	 36	116   37		91   12
47	2	36.6	 36	95   16		67   8
47	2	36.7	 36	59   0		44   0
47	2	36.8	 36	73   14		64   5
47	2	36.9	 36	65   6		48   4
47	2	37.1	 37	9   0		9   0
47	2	37.2	 37	9   0		9   0
