Table of dimensions of level N homology over Q(sqrt(-5))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
5	2	1.1	 1	1   0		1   0		0   0
5	2	2.1	 2	3   0		3   0		1   0
5	2	3.1	 3	3   0		3   0		1   0
5	2	3.2	 3	3   0		3   0		1   0
5	2	4.1	 4	5   0		5   0		2   0
5	2	5.1	 5	3   0		3   0		1   0
5	2	6.1	 6	7   0		7   0		3   0
5	2	6.2	 6	7   0		7   0		3   0
5	2	7.1	 7	3   0		3   0		1   0
5	2	7.2	 7	3   0		3   0		1   0
5	2	8.1	 8	8   1		8   1		3   0
5	2	9.1	 9	7   0		5   0		2   0
5	2	9.2	 9	8   1		7   0		3   0
5	2	9.3	 9	7   0		5   0		2   0
5	2	10.1	 10	7   0		7   0		3   0
5	2	12.1	 12	11   0		11   0		5   0
5	2	12.2	 12	11   0		11   0		5   0
5	2	14.1	 14	8   1		7   0		3   0
5	2	14.2	 14	8   1		7   0		3   0
5	2	15.1	 15	7   0		7   0		3   0
5	2	15.2	 15	7   0		7   0		3   0
5	2	16.1	 16	14   3		14   3		6   1
5	2	18.1	 18	15   0		11   0		5   0
5	2	18.2	 18	18   3		16   1		7   0
5	2	18.3	 18	15   0		11   0		5   0
5	2	20.1	 20	12   1		12   1		6   1
5	2	21.1	 21	7   0		7   0		3   0
5	2	21.2	 21	7   0		7   0		3   0
5	2	21.3	 21	7   0		7   0		3   0
5	2	21.4	 21	7   0		7   0		3   0
5	2	23.1	 23	3   0		3   0		1   0
5	2	23.2	 23	3   0		3   0		1   0
5	2	24.1	 24	17   2		17   2		7   0
5	2	24.2	 24	17   2		17   2		7   0
5	2	25.1	 25	15   4		7   0		3   0
5	2	27.1	 27	11   0		7   0		3   0
5	2	27.2	 27	18   3		12   1		5   0
5	2	27.3	 27	18   3		12   1		5   0
5	2	27.4	 27	11   0		7   0		3   0
5	2	28.1	 28	13   2		11   0		5   0
5	2	28.2	 28	13   2		11   0		5   0
5	2	29.1	 29	3   0		3   0		1   0
5	2	29.2	 29	3   0		3   0		1   0
5	2	30.1	 30	15   0		15   0		7   0
5	2	30.2	 30	15   0		15   0		7   0
5	2	32.1	 32	20   5		20   5		9   2
5	2	35.1	 35	7   0		7   0		3   0
5	2	35.2	 35	7   0		7   0		3   0
5	2	36.1	 36	23   0		17   0		8   0
5	2	36.2	 36	30   7		26   3		11   0
5	2	36.3	 36	23   0		17   0		8   0
5	2	40.1	 40	20   5		20   5		10   3
5	2	41.1	 41	4   1		3   0		1   0
5	2	41.2	 41	4   1		3   0		1   0
5	2	42.1	 42	19   4		16   1		7   0
5	2	42.2	 42	17   2		15   0		7   0
5	2	42.3	 42	17   2		15   0		7   0
5	2	42.4	 42	19   4		16   1		7   0
5	2	43.1	 43	3   0		3   0		1   0
5	2	43.2	 43	3   0		3   0		1   0
5	2	45.1	 45	17   2		12   1		5   0
5	2	45.2	 45	18   3		16   1		8   1
5	2	45.3	 45	17   2		12   1		5   0
5	2	46.1	 46	7   0		7   0		3   0
5	2	46.2	 46	7   0		7   0		3   0
5	2	47.1	 47	3   0		3   0		1   0
5	2	47.2	 47	3   0		3   0		1   0
5	2	48.1	 48	29   6		29   6		13   2
5	2	48.2	 48	29   6		29   6		13   2
5	2	49.1	 49	15   0		9   0		4   0
5	2	49.2	 49	12   5		8   1		3   0
5	2	49.3	 49	15   0		9   0		4   0
5	2	50.1	 50	31   8		17   2		8   1
5	2	54.1	 54	23   0		15   0		7   0
5	2	54.2	 54	40   9		27   4		11   0
