# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-23))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.23.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	2.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	2.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	3.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	3.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	4.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	4.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	4.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	6.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	6.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	6.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	6.4	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	8.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	8.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	8.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	8.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	9.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	9.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	9.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	12.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	12.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	12.3	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	12.4	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	12.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	12.6	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	13.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	13.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	16.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	16.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	16.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	16.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	16.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	18.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	18.2	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	18.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	18.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	18.5	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	18.6	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.23.1	23.1	2	2	2 [ 2 ]	0 [ 0 ]	2 [ 2 ]
2.0.23.1	24.1	3	3	3 [ 3 ]	3 [ 3 ]	0 [ 0 ]
2.0.23.1	24.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	24.3	4	4	4 [ 4 ]	4 [ 4 ]	0 [ 0 ]
2.0.23.1	24.4	3	3	3 [ 3 ]	3 [ 3 ]	0 [ 0 ]
2.0.23.1	24.5	3	3	3 [ 3 ]	3 [ 3 ]	0 [ 0 ]
2.0.23.1	24.6	4	4	4 [ 4 ]	4 [ 4 ]	0 [ 0 ]
2.0.23.1	24.7	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	24.8	3	3	3 [ 3 ]	3 [ 3 ]	0 [ 0 ]
2.0.23.1	25.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	26.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	26.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	26.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	26.4	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	27.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	27.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	27.3	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	27.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	29.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	29.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	31.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	31.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	32.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	32.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	32.3	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	32.4	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.23.1	32.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	32.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	36.1	4	4	4 [ 4 ]	4 [ 4 ]	0 [ 0 ]
2.0.23.1	36.2	4	4	4 [ 4 ]	4 [ 4 ]	0 [ 0 ]
2.0.23.1	36.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.23.1	36.4	5	5	5 [ 5 ]	4 [ 4 ]	1 [ 1 ]
2.0.23.1	36.5	8	8	8 [ 8 ]	8 [ 8 ]	0 [ 0 ]
2.0.23.1	36.6	5	5	5 [ 5 ]	4 [ 4 ]	1 [ 1 ]
