Table of dimensions of level N homology over Q(sqrt(-35))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
35	2	1.1	 1	2   1		1   0		0   0
35	2	3.1	 3	4   1		3   0		1   0
35	2	3.2	 3	4   1		3   0		1   0
35	2	4.1	 4	6   3		3   0		1   0
35	2	5.1	 5	5   2		3   0		1   0
35	2	7.1	 7	5   2		4   1		1   0
35	2	9.1	 9	10   3		6   1		3   1
35	2	9.2	 9	12   5		7   0		3   0
35	2	9.3	 9	10   3		6   1		3   1
35	2	11.1	 11	6   3		3   0		1   0
35	2	11.2	 11	6   3		3   0		1   0
35	2	12.1	 12	11   4		7   0		3   0
35	2	12.2	 12	11   4		7   0		3   0
35	2	13.1	 13	4   1		3   0		1   0
35	2	13.2	 13	4   1		3   0		1   0
35	2	15.1	 15	11   4		7   0		3   0
35	2	15.2	 15	11   4		7   0		3   0
35	2	16.1	 16	14   5		9   0		4   0
35	2	17.1	 17	5   2		3   0		1   0
35	2	17.2	 17	5   2		3   0		1   0
35	2	20.1	 20	14   7		7   0		3   0
35	2	21.1	 21	11   4		9   2		3   0
35	2	21.2	 21	11   4		9   2		3   0
35	2	25.1	 25	23   12		7   0		3   0
35	2	27.1	 27	18   7		10   3		6   3
35	2	27.2	 27	28   13		15   4		7   2
35	2	27.3	 27	28   13		15   4		7   2
35	2	27.4	 27	18   7		10   3		6   3
35	2	28.1	 28	16   9		12   5		4   1
35	2	29.1	 29	7   4		4   1		1   0
35	2	29.2	 29	7   4		4   1		1   0
35	2	33.1	 33	12   5		7   0		3   0
35	2	33.2	 33	11   4		7   0		3   0
35	2	33.3	 33	11   4		7   0		3   0
35	2	33.4	 33	12   5		7   0		3   0
35	2	35.1	 35	16   9		12   5		6   3
35	2	36.1	 36	25   10		14   3		7   2
35	2	36.2	 36	34   19		16   1		7   0
35	2	36.3	 36	25   10		14   3		7   2
35	2	39.1	 39	9   2		7   0		3   0
35	2	39.2	 39	9   2		7   0		3   0
35	2	39.3	 39	9   2		7   0		3   0
35	2	39.4	 39	9   2		7   0		3   0
