K = Q(sqrt(-43)) = Q(a), disc(K) = -43, min poly(a) = x^2-x+11.
4 [4,0,2] (2) 2 1 2
9 [9,0,3] (3) 3 1 2
11 [11,0,1] (a) 11 1 1
11 [11,10,1] (-1+a) 11 1 1
13 [13,1,1] (1+a) 13 1 1
13 [13,11,1] (-2+a) 13 1 1
17 [17,2,1] (2+a) 17 1 1
17 [17,14,1] (-3+a) 17 1 1
23 [23,3,1] (3+a) 23 1 1
23 [23,19,1] (-4+a) 23 1 1
25 [25,0,5] (5) 5 1 2
31 [31,4,1] (4+a) 31 1 1
31 [31,26,1] (-5+a) 31 1 1
41 [41,5,1] (5+a) 41 1 1
41 [41,35,1] (-6+a) 41 1 1
43 [43,21,1] (-1+2a) 43 2 1
47 [47,22,1] (-3+2a) 47 1 1
47 [47,24,1] (1+2a) 47 1 1
49 [49,0,7] (7) 7 1 2
53 [53,6,1] (6+a) 53 1 1
53 [53,46,1] (-7+a) 53 1 1
59 [59,27,1] (-5+2a) 59 1 1
59 [59,31,1] (3+2a) 59 1 1
67 [67,7,1] (7+a) 67 1 1
67 [67,59,1] (-8+a) 67 1 1
79 [79,36,1] (-7+2a) 79 1 1
79 [79,42,1] (5+2a) 79 1 1
83 [83,8,1] (8+a) 83 1 1
83 [83,74,1] (-9+a) 83 1 1
97 [97,32,1] (-1+3a) 97 1 1
97 [97,64,1] (-2+3a) 97 1 1
