# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-31))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.31.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	2.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	2.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	4.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	4.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	4.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	5.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	5.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	7.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	7.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	8.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	8.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	8.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	8.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	9.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	10.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	10.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	10.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	10.4	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	14.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	14.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	14.3	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	14.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	16.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	16.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	16.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	16.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	16.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	18.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	18.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	19.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	19.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	20.1	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.31.1	20.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	20.3	4	4	4 [ 4 ]	2 [ 2 ]	2 [ 2 ]
2.0.31.1	20.4	4	4	4 [ 4 ]	2 [ 2 ]	2 [ 2 ]
2.0.31.1	20.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	20.6	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.31.1	25.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	25.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	25.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	28.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	28.2	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.31.1	28.3	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.31.1	28.4	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.31.1	28.5	2	2	2 [ 2 ]	2 [ 2 ]	0 [ 0 ]
2.0.31.1	28.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	31.1	2	2	2 [ 2 ]	0 [ 0 ]	2 [ 2 ]
2.0.31.1	32.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	32.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	32.3	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	32.4	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	32.5	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.31.1	32.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	35.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.31.1	35.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
