Table of dimensions of level N homology over Q(sqrt(-14))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
14	2	1.1	 1	4   1		3   0		1   0
14	2	2.1	 2	9   2		7   0		3   0
14	2	3.1	 3	8   1		7   0		3   0
14	2	3.2	 3	8   1		7   0		3   0
14	2	4.1	 4	15   4		11   0		5   0
14	2	5.1	 5	8   1		7   0		3   0
14	2	5.2	 5	8   1		7   0		3   0
14	2	6.1	 6	17   2		15   0		7   0
14	2	6.2	 6	17   2		15   0		7   0
14	2	7.1	 7	12   5		10   3		6   3
14	2	8.1	 8	22   7		15   0		7   0
14	2	9.1	 9	18   3		12   1		5   0
14	2	9.2	 9	22   7		16   1		8   1
14	2	9.3	 9	18   3		12   1		5   0
14	2	10.1	 10	17   2		15   0		7   0
14	2	10.2	 10	17   2		15   0		7   0
14	2	12.1	 12	28   5		23   0		11   0
14	2	12.2	 12	28   5		23   0		11   0
14	2	13.1	 13	8   1		7   0		3   0
14	2	13.2	 13	8   1		7   0		3   0
14	2	14.1	 14	30   15		24   9		14   7
14	2	15.1	 15	18   3		16   1		7   0
14	2	15.2	 15	17   2		15   0		7   0
14	2	15.3	 15	17   2		15   0		7   0
14	2	15.4	 15	18   3		16   1		7   0
14	2	16.1	 16	36   13		23   0		11   0
14	2	18.1	 18	39   8		26   3		12   1
14	2	18.2	 18	46   15		33   2		17   2
14	2	18.3	 18	39   8		26   3		12   1
14	2	19.1	 19	8   1		7   0		3   0
14	2	19.2	 19	8   1		7   0		3   0
14	2	20.1	 20	28   5		23   0		11   0
14	2	20.2	 20	28   5		23   0		11   0
14	2	21.1	 21	23   8		21   6		13   6
14	2	21.2	 21	23   8		21   6		13   6
14	2	23.1	 23	9   2		7   0		3   0
14	2	23.2	 23	9   2		7   0		3   0
14	2	24.1	 24	41   10		31   0		15   0
14	2	24.2	 24	41   10		31   0		15   0
14	2	25.1	 25	26   3		15   0		7   0
14	2	25.2	 25	28   13		17   2		9   2
14	2	25.3	 25	26   3		15   0		7   0
