Table of dimensions of level N homology over Q(sqrt(-59))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
59	2	1.1	 1	3   1		2   0
59	2	3.1	 3	7   2		5   0
59	2	3.2	 3	7   2		5   0
59	2	4.1	 4	9   4		5   0
59	2	5.1	 5	7   2		5   0
59	2	5.2	 5	7   2		5   0
59	2	7.1	 7	7   2		5   0
59	2	7.2	 7	7   2		5   0
59	2	9.1	 9	15   4		9   1
59	2	9.2	 9	20   9		11   0
59	2	9.3	 9	15   4		9   1
59	2	12.1	 12	20   9		11   0
59	2	12.2	 12	20   9		11   0
59	2	15.1	 15	17   6		11   0
59	2	15.2	 15	15   4		11   0
59	2	15.3	 15	15   4		11   0
59	2	15.4	 15	17   6		11   0
59	2	16.1	 16	21   7		14   0
59	2	17.1	 17	8   3		6   1
59	2	17.2	 17	8   3		6   1
59	2	19.1	 19	7   2		5   0
59	2	19.2	 19	7   2		5   0
59	2	20.1	 20	19   8		11   0
59	2	20.2	 20	19   8		11   0
59	2	21.1	 21	15   4		11   0
59	2	21.2	 21	18   7		11   0
59	2	21.3	 21	18   7		11   0
59	2	21.4	 21	15   4		11   0
59	2	25.1	 25	21   4		11   0
59	2	25.2	 25	24   13		11   0
59	2	25.3	 25	21   4		11   0
59	2	27.1	 27	23   6		13   2
59	2	27.2	 27	48   25		25   8
59	2	27.3	 27	48   25		25   8
59	2	27.4	 27	23   6		13   2
59	2	28.1	 28	19   8		11   0
59	2	28.2	 28	19   8		11   0
59	2	29.1	 29	7   2		5   0
59	2	29.2	 29	7   2		5   0
59	2	35.1	 35	15   4		11   0
59	2	35.2	 35	15   4		11   0
59	2	35.3	 35	15   4		11   0
59	2	35.4	 35	15   4		11   0
59	2	36.1	 36	42   19		22   5
59	2	36.2	 36	60   37		25   2
59	2	36.3	 36	42   19		22   5
59	2	41.1	 41	7   2		5   0
59	2	41.2	 41	7   2		5   0
59	2	45.1	 45	37   14		21   4
59	2	45.2	 45	31   8		19   2
59	2	45.3	 45	45   22		23   0
59	2	45.4	 45	45   22		23   0
59	2	45.5	 45	31   8		19   2
59	2	45.6	 45	37   14		21   4
59	2	48.1	 48	45   16		29   0
59	2	48.2	 48	45   16		29   0
59	2	49.1	 49	27   4		15   1
59	2	49.2	 49	32   21		11   0
59	2	49.3	 49	27   4		15   1
