# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-71))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.71.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	2.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	2.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	3.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	3.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	4.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	4.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	4.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	5.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	5.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	6.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	6.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	6.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	6.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	8.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	8.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	8.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	8.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	9.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	9.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	9.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	10.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	10.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	10.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	10.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	12.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	12.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	12.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	12.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	12.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	12.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	15.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	15.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	15.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	15.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	16.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	16.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	16.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	16.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	16.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	18.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.71.1	18.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	18.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	18.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	18.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	18.6	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.71.1	19.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	19.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	20.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	20.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	20.3	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.71.1	20.4	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.71.1	20.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	20.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	24.1	2	2	2 [ 2 ]	0 [ 0 ]	2 [ 2 ]
2.0.71.1	24.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	24.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	24.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	24.5	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	24.6	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	24.7	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	24.8	2	2	2 [ 2 ]	0 [ 0 ]	2 [ 2 ]
2.0.71.1	25.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	25.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	25.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	27.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	27.2	5	5	5 [ 5 ]	0 [ 0 ]	5 [ 5 ]
2.0.71.1	27.3	5	5	5 [ 5 ]	0 [ 0 ]	5 [ 5 ]
2.0.71.1	27.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	29.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	29.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.71.1	30.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
