# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-67))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.67.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	4.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	9.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	16.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	17.1	3	3	3 [ 3 ]	0 [ 0 ]	3 [ 3 ]
2.0.67.1	17.2	3	3	3 [ 3 ]	0 [ 0 ]	3 [ 3 ]
2.0.67.1	19.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	19.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	23.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	23.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	25.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	29.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	29.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	36.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	37.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	37.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	47.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	47.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	49.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	59.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	59.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	64.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	67.1	5	5	5 [ 5 ]	0 [ 0 ]	5 [ 5 ]
2.0.67.1	68.1	6	6	6 [ 6 ]	6 [ 6 ]	0 [ 0 ]
2.0.67.1	68.2	6	6	6 [ 6 ]	6 [ 6 ]	0 [ 0 ]
2.0.67.1	71.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	71.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	73.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	73.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	76.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	76.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	81.1	20	20	20 [ 20 ]	0 [ 0 ]	20 [ 20 ]
2.0.67.1	83.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	83.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	89.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	89.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	92.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	92.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.67.1	100.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
