Table of dimensions of level N homology over Q(sqrt(-11))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
11	2	1.1	 1	0   0		0   0
11	2	3.1	 3	1   0		1   0
11	2	3.2	 3	1   0		1   0
11	2	4.1	 4	1   0		1   0
11	2	5.1	 5	1   0		1   0
11	2	5.2	 5	1   0		1   0
11	2	9.1	 9	3   0		2   0
11	2	9.2	 9	4   1		3   0
11	2	9.3	 9	3   0		2   0
11	2	11.1	 11	2   1		2   1
11	2	12.1	 12	3   0		3   0
11	2	12.2	 12	3   0		3   0
11	2	15.1	 15	3   0		3   0
11	2	15.2	 15	3   0		3   0
11	2	15.3	 15	3   0		3   0
11	2	15.4	 15	3   0		3   0
11	2	16.1	 16	4   0		4   0
11	2	20.1	 20	3   0		3   0
11	2	20.2	 20	3   0		3   0
11	2	23.1	 23	1   0		1   0
11	2	23.2	 23	1   0		1   0
11	2	25.1	 25	5   0		3   0
11	2	25.2	 25	4   1		3   0
11	2	25.3	 25	5   0		3   0
11	2	27.1	 27	5   0		3   0
11	2	27.2	 27	10   3		6   1
11	2	27.3	 27	10   3		6   1
11	2	27.4	 27	5   0		3   0
11	2	31.1	 31	1   0		1   0
11	2	31.2	 31	1   0		1   0
11	2	33.1	 33	5   2		5   2
11	2	33.2	 33	5   2		5   2
11	2	36.1	 36	7   0		5   0
11	2	36.2	 36	10   3		7   0
11	2	36.3	 36	7   0		5   0
11	2	37.1	 37	1   0		1   0
11	2	37.2	 37	1   0		1   0
11	2	44.1	 44	5   2		5   2
11	2	45.1	 45	7   0		5   0
11	2	45.2	 45	7   0		5   0
11	2	45.3	 45	9   2		7   0
11	2	45.4	 45	9   2		7   0
11	2	45.5	 45	7   0		5   0
11	2	45.6	 45	7   0		5   0
11	2	47.1	 47	2   1		2   1
11	2	47.2	 47	2   1		2   1
11	2	48.1	 48	9   0		9   0
11	2	48.2	 48	9   0		9   0
11	2	49.1	 49	4   3		1   0
11	2	53.1	 53	1   0		1   0
11	2	53.2	 53	1   0		1   0
11	2	55.1	 55	5   2		5   2
11	2	55.2	 55	5   2		5   2
11	2	59.1	 59	1   0		1   0
11	2	59.2	 59	1   0		1   0
11	2	60.1	 60	7   0		7   0
11	2	60.2	 60	7   0		7   0
11	2	60.3	 60	7   0		7   0
11	2	60.4	 60	7   0		7   0
11	2	64.1	 64	8   1		7   0
11	2	67.1	 67	1   0		1   0
11	2	67.2	 67	1   0		1   0
11	2	69.1	 69	5   2		3   0
11	2	69.2	 69	3   0		3   0
11	2	69.3	 69	3   0		3   0
11	2	69.4	 69	5   2		3   0
11	2	71.1	 71	3   2		1   0
11	2	71.2	 71	3   2		1   0
11	2	75.1	 75	11   0		7   0
11	2	75.2	 75	9   2		7   0
11	2	75.3	 75	13   2		7   0
11	2	75.4	 75	13   2		7   0
11	2	75.5	 75	9   2		7   0
11	2	75.6	 75	11   0		7   0
11	2	80.1	 80	9   0		9   0
11	2	80.2	 80	9   0		9   0
11	2	81.1	 81	11   0		6   0
11	2	81.2	 81	16   5		9   2
11	2	81.3	 81	24   9		13   4
11	2	81.4	 81	16   5		9   2
11	2	81.5	 81	11   0		6   0
11	2	89.1	 89	3   2		2   1
11	2	89.2	 89	3   2		2   1
11	2	92.1	 92	4   1		4   1
11	2	92.2	 92	4   1		4   1
11	2	93.1	 93	3   0		3   0
11	2	93.2	 93	3   0		3   0
11	2	93.3	 93	3   0		3   0
11	2	93.4	 93	3   0		3   0
11	2	97.1	 97	1   0		1   0
11	2	97.2	 97	1   0		1   0
11	2	99.1	 99	13   6		9   4
11	2	99.2	 99	14   7		12   5
11	2	99.3	 99	13   6		9   4
11	2	100.1	 100	11   0		7   0
11	2	100.2	 100	12   5		7   0
11	2	100.3	 100	11   0		7   0
