Table of dimensions of level N homology over Q(sqrt(-1))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
1	2	1.1	 1	0   0		0   0
1	2	2.1	 2	1   0		1   0
1	2	4.1	 4	2   0		2   0
1	2	5.1	 5	1   0		1   0
1	2	5.2	 5	1   0		1   0
1	2	8.1	 8	3   0		3   0
1	2	9.1	 9	1   0		1   0
1	2	10.1	 10	3   0		3   0
1	2	10.2	 10	3   0		3   0
1	2	13.1	 13	1   0		1   0
1	2	13.2	 13	1   0		1   0
1	2	16.1	 16	5   0		4   0
1	2	17.1	 17	1   0		1   0
1	2	17.2	 17	1   0		1   0
1	2	18.1	 18	3   0		3   0
1	2	20.1	 20	5   0		5   0
1	2	20.2	 20	5   0		5   0
1	2	25.1	 25	3   0		2   0
1	2	25.2	 25	3   0		3   0
1	2	25.3	 25	3   0		2   0
1	2	26.1	 26	3   0		3   0
1	2	26.2	 26	3   0		3   0
1	2	29.1	 29	1   0		1   0
1	2	29.2	 29	1   0		1   0
1	2	32.1	 32	7   0		5   0
1	2	34.1	 34	3   0		3   0
1	2	34.2	 34	3   0		3   0
1	2	36.1	 36	5   0		5   0
1	2	37.1	 37	1   0		1   0
1	2	37.2	 37	1   0		1   0
1	2	40.1	 40	7   0		7   0
1	2	40.2	 40	7   0		7   0
1	2	41.1	 41	1   0		1   0
1	2	41.2	 41	1   0		1   0
1	2	45.1	 45	3   0		3   0
1	2	45.2	 45	3   0		3   0
1	2	49.1	 49	1   0		1   0
1	2	50.1	 50	7   0		5   0
1	2	50.2	 50	7   0		7   0
1	2	50.3	 50	7   0		5   0
1	2	52.1	 52	5   0		5   0
1	2	52.2	 52	5   0		5   0
1	2	53.1	 53	1   0		1   0
1	2	53.2	 53	1   0		1   0
1	2	58.1	 58	3   0		3   0
1	2	58.2	 58	3   0		3   0
1	2	61.1	 61	1   0		1   0
1	2	61.2	 61	1   0		1   0
1	2	64.1	 64	9   0		6   0
1	2	65.1	 65	3   0		3   0
1	2	65.2	 65	4   1		4   1
1	2	65.3	 65	4   1		4   1
1	2	65.4	 65	3   0		3   0
1	2	68.1	 68	6   1		5   0
1	2	68.2	 68	6   1		5   0
1	2	72.1	 72	8   1		8   1
1	2	73.1	 73	1   0		1   0
1	2	73.2	 73	1   0		1   0
1	2	74.1	 74	3   0		3   0
1	2	74.2	 74	3   0		3   0
1	2	80.1	 80	11   0		9   0
1	2	80.2	 80	11   0		9   0
1	2	81.1	 81	5   0		3   0
1	2	82.1	 82	3   0		3   0
1	2	82.2	 82	3   0		3   0
1	2	85.1	 85	3   0		3   0
1	2	85.2	 85	3   0		3   0
1	2	85.3	 85	3   0		3   0
1	2	85.4	 85	3   0		3   0
1	2	89.1	 89	1   0		1   0
1	2	89.2	 89	1   0		1   0
1	2	90.1	 90	7   0		7   0
1	2	90.2	 90	7   0		7   0
1	2	97.1	 97	1   0		1   0
1	2	97.2	 97	1   0		1   0
1	2	98.1	 98	4   1		4   1
1	2	100.1	 100	11   0		8   0
1	2	100.2	 100	12   1		12   1
1	2	100.3	 100	11   0		8   0
