# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-83))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.83.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	3.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	3.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	4.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	7.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	7.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	9.1	2	2	2 [ 2 ]	0 [ 0 ]	2 [ 2 ]
2.0.83.1	9.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	9.3	2	2	2 [ 2 ]	0 [ 0 ]	2 [ 2 ]
2.0.83.1	11.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	11.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	12.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	12.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	16.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	17.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	17.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	21.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	21.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	21.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	21.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	23.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	23.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	25.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	27.1	6	6	6 [ 6 ]	4 [ 4 ]	2 [ 2 ]
2.0.83.1	27.2	11	11	11 [ 11 ]	4 [ 4 ]	7 [ 7 ]
2.0.83.1	27.3	11	11	11 [ 11 ]	4 [ 4 ]	7 [ 7 ]
2.0.83.1	27.4	6	6	6 [ 6 ]	4 [ 4 ]	2 [ 2 ]
2.0.83.1	28.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	28.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	29.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	29.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	31.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	31.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	33.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	33.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	33.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	33.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	36.1	7	7	7 [ 7 ]	4 [ 4 ]	3 [ 3 ]
2.0.83.1	36.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	36.3	7	7	7 [ 7 ]	4 [ 4 ]	3 [ 3 ]
2.0.83.1	37.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.83.1	37.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
