Q(sqrt(-83))	discriminant = -83	min poly(a) = a^2-a+21.
Class number 3
Ideal class group representatives: [ [1,a] [3,a] [3,2+a] ]
2-rank of class group = 0
165 prime ideals initialised, max norm = 1000
P443a = 443.1 = [443,55+a] = (-3+8a,-55-a) (not principal)
P443b = 443.2 = [443,387+a] = (-5+8a,-56+a) (not principal)
P463a = 463.1 = [463,98+a] = (27+5a,-44+9a) (not principal)
P463b = 463.2 = [463,364+a] = (-32+5a,-35-9a) (not principal)
P479a = 479.1 = [479,65+a] = (-24+7a,-41-8a) (not principal)
P479b = 479.2 = [479,413+a] = (17+7a,-49+8a) (not principal)
P499a = 499.1 = [499,185+a] = (-17+8a,-56-3a) (not principal)
P499b = 499.2 = [499,313+a] = (9+8a,-59+3a) (not principal)
P509a = 509.1 = [509,235+a] = (-39+2a,-1-13a) (not principal)
P509b = 509.2 = [509,273+a] = (37+2a,-14+13a) (not principal)
P521a = 521.1 = [521,104+a] = (-1+5a,-105+4a) = (-1+5a) (principal)
P521b = 521.2 = [521,416+a] = (-4+5a,-105+a) = (-4+5a) (principal)
P523a = 523.1 = [523,227+a] = (20+7a,-49+9a) (not principal)
P523b = 523.2 = [523,295+a] = (-27+7a,-40-9a) (not principal)
P547a = 547.1 = [547,225+a] = (31+5a,-35+12a) (not principal)
P547b = 547.2 = [547,321+a] = (-36+5a,-23-12a) (not principal)
P557a = 557.1 = [557,135+a] = (-17+4a,-84-13a) = (-17+4a) (principal)
P557b = 557.2 = [557,421+a] = (13+4a,-84+17a) = (13+4a) (principal)
P563a = 563.1 = [563,213+a] = (15+8a,-61+5a) (not principal)
P563b = 563.2 = [563,349+a] = (-23+8a,-56-5a) (not principal)
P593a = 593.1 = [593,111+a] = (-38+5a,-35-11a) (not principal)
P593b = 593.2 = [593,481+a] = (33+5a,-46+11a) (not principal)
P607a = 607.1 = [607,195+a] = (-22+3a,-63-19a) = (-22+3a) (principal)
P607b = 607.2 = [607,411+a] = (19+3a,-63+22a) = (19+3a) (principal)
P617a = 617.1 = [617,239+a] = (-39+5a,-22-13a) (not principal)
P617b = 617.2 = [617,377+a] = (34+5a,-35+13a) (not principal)
P619a = 619.1 = [619,74+a] = (-27+8a,-47-9a) (not principal)
P619b = 619.2 = [619,544+a] = (19+8a,-56+9a) (not principal)
P659a = 659.1 = [659,317+a] = (-25+2a,-42-23a) = (-25+2a) (principal)
P659b = 659.2 = [659,341+a] = (23+2a,-42+25a) = (23+2a) (principal)
P673a = 673.1 = [673,314+a] = (-45+2a,1-15a) (not principal)
