# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-3))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 ]
			all	triv	all		old		new
2.0.3.1	1.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	3.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	4.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	7.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	7.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	9.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	12.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	13.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	13.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	16.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	19.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	19.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	21.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	21.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	25.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	27.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	28.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	28.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	31.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	31.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	36.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	37.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	37.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	39.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	39.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	43.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	43.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	48.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	49.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	49.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	49.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	52.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	52.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	57.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	57.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	61.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	61.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	63.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	63.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	64.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	67.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	67.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	73.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.3.1	73.2	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.3.1	75.1	1	1	1 [ 1 ]	0 [ 0 ]	1 [ 1 ]
2.0.3.1	76.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	76.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	79.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	79.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	81.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	84.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	84.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	91.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	91.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	91.3	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	91.4	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	93.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	93.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	97.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	97.2	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
2.0.3.1	100.1	0	0	0 [ 0 ]	0 [ 0 ]	0 [ 0 ]
