# Table of dimensions of weight 2 Bianchi cuspidal spaces for GL2 over Q(sqrt(-21))
#   showing full (respectively old, new) dimensions of the cuspidal space and its splitting
#   into subspaces with no self-twist and self-twist by each unramified quadratic character.

# Field		Level	hom-cusp-dim	BMF-cusp-dim (triv char)[ 1 -4 -3 -7 ]
			all	triv	all		old		new
2.0.84.1	1.1	1	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	2.1	3	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	3.1	4	1	4 [ 4 0 0 0 ]	0 [ 0 0 0 0 ]	4 [ 4 0 0 0 ]
2.0.84.1	4.1	7	1	4 [ 4 0 0 0 ]	0 [ 0 0 0 0 ]	4 [ 4 0 0 0 ]
2.0.84.1	5.1	1	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	5.2	1	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	6.1	10	2	8 [ 8 0 0 0 ]	8 [ 8 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	7.1	5	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	8.1	13	2	8 [ 8 0 0 0 ]	8 [ 8 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	9.1	14	2	8 [ 8 0 0 0 ]	8 [ 8 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	10.1	4	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	10.2	4	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	11.1	2	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	11.2	2	0	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]	0 [ 0 0 0 0 ]
2.0.84.1	12.1	21	6	24 [ 24 0 0 0 ]	20 [ 20 0 0 0 ]	4 [ 4 0 0 0 ]
