Q(sqrt(-31))	discriminant = 31	min poly(a) = a^2-a+8.
Class number 3
Ideal class group representatives: [ [1,a] [2,a] [2,1+a] ]
22 prime ideals initialised, max norm = 100
P2a = 2.1 = [2,a] = (2,a) (not principal)
P2b = 2.2 = [2,1+a] = (2,-1+a) (not principal)
P5a = 5.1 = [5,1+a] = (1+a,-4+a) (not principal)
P5b = 5.2 = [5,3+a] = (-2+a,-3-a) (not principal)
P7a = 7.1 = [7,2+a] = (2+a,-5+a) (not principal)
P7b = 7.2 = [7,4+a] = (-3+a,-4-a) (not principal)
P3 = 9.1 = 3[1,a] = (3,3a) = (3) (principal)
P19a = 19.1 = [19,5+a] = (5+a,-4+3a) (not principal)
P19b = 19.2 = [19,13+a] = (-6+a,-1-3a) (not principal)
P31 = 31.1 = [31,15+a] = (-1+2a,-16+a) = (-1+2a) (principal)
P41a = 41.1 = [41,12+a] = (-5+3a,-12-a) (not principal)
P41b = 41.2 = [41,28+a] = (-2-3a,13-a) (not principal)
P47a = 47.1 = [47,21+a] = (-5+2a,-16-3a) = (-5+2a) (principal)
P47b = 47.2 = [47,25+a] = (-3-2a,16-5a) = (-3-2a) (principal)
P59a = 59.1 = [59,10+a] = (10+a,-9+5a) (not principal)
P59b = 59.2 = [59,48+a] = (-11+a,-4-5a) (not principal)
P67a = 67.1 = [67,30+a] = (-7+2a,-16-5a) = (-7+2a) (principal)
P67b = 67.2 = [67,36+a] = (-5-2a,16-7a) = (-5-2a) (principal)
P71a = 71.1 = [71,26+a] = (7+3a,-12+5a) (not principal)
P71b = 71.2 = [71,44+a] = (10-3a,7+5a) (not principal)
P97a = 97.1 = [97,19+a] = (-2+5a,-19-a) (not principal)
P97b = 97.2 = [97,77+a] = (3-5a,20-a) (not principal)
