Table of dimensions of level N homology over Q(sqrt(-79))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
79	2	1.1	 1	5   1		4   0
79	2	2.1	 2	12   3		10   1
79	2	2.2	 2	12   3		10   1
79	2	4.1	 4	19   5		16   2
79	2	4.2	 4	30   11		23   4
79	2	4.3	 4	19   5		16   2
79	2	5.1	 5	11   2		9   0
79	2	5.2	 5	11   2		9   0
79	2	8.1	 8	26   7		22   3
79	2	8.2	 8	48   19		36   7
79	2	8.3	 8	48   19		36   7
79	2	8.4	 8	26   7		22   3
79	2	9.1	 9	17   8		9   0
79	2	10.1	 10	26   7		22   3
79	2	10.2	 10	25   6		21   2
79	2	10.3	 10	25   6		21   2
79	2	10.4	 10	26   7		22   3
79	2	11.1	 11	11   2		9   0
79	2	11.2	 11	11   2		9   0
79	2	13.1	 13	11   2		9   0
79	2	13.2	 13	11   2		9   0
79	2	16.1	 16	40   11		29   5
79	2	16.2	 16	66   27		49   10
79	2	16.3	 16	80   36		56   12
79	2	16.4	 16	66   27		49   10
79	2	16.5	 16	40   11		29   5
79	2	18.1	 18	37   18		21   2
79	2	18.2	 18	37   18		21   2
79	2	19.1	 19	11   2		9   0
79	2	19.2	 19	11   2		9   0
79	2	20.1	 20	41   12		35   6
79	2	20.2	 20	40   11		34   5
79	2	20.3	 20	64   25		50   11
79	2	20.4	 20	64   25		50   11
79	2	20.5	 20	40   11		34   5
79	2	20.6	 20	41   12		35   6
