K = Q(sqrt(-7)) = Q(a), disc(K) = -7, min poly(a) = x^2-x+2.
2 [2,0,1] (a) 2 1 1
2 [2,1,1] (-1+a) 2 1 1
7 [7,3,1] (-1+2a) 7 2 1
9 [9,0,3] (3) 3 1 2
11 [11,4,1] (-3+2a) 11 1 1
11 [11,6,1] (1+2a) 11 1 1
23 [23,9,1] (-5+2a) 23 1 1
23 [23,13,1] (3+2a) 23 1 1
25 [25,0,5] (5) 5 1 2
29 [29,7,1] (-1+4a) 29 1 1
29 [29,21,1] (-3+4a) 29 1 1
37 [37,8,1] (-5+4a) 37 1 1
37 [37,28,1] (1+4a) 37 1 1
43 [43,18,1] (-7+2a) 43 1 1
43 [43,24,1] (5+2a) 43 1 1
53 [53,14,1] (3+4a) 53 1 1
53 [53,38,1] (-7+4a) 53 1 1
67 [67,11,1] (-1+6a) 67 1 1
67 [67,55,1] (-5+6a) 67 1 1
71 [71,31,1] (-9+2a) 71 1 1
71 [71,39,1] (7+2a) 71 1 1
79 [79,12,1] (-7+6a) 79 1 1
79 [79,66,1] (1+6a) 79 1 1
