Table of dimensions of level N homology over Q(sqrt(-83))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
83	2	1.1	 1	4   2		2   0
83	2	3.1	 3	9   4		5   0
83	2	3.2	 3	9   4		5   0
83	2	4.1	 4	12   7		5   0
83	2	7.1	 7	9   4		5   0
83	2	7.2	 7	9   4		5   0
83	2	9.1	 9	19   8		10   2
83	2	9.2	 9	26   15		11   0
83	2	9.3	 9	19   8		10   2
83	2	11.1	 11	9   4		5   0
83	2	11.2	 11	9   4		5   0
83	2	12.1	 12	25   14		11   0
83	2	12.2	 12	25   14		11   0
83	2	16.1	 16	27   13		14   0
83	2	17.1	 17	9   4		5   0
83	2	17.2	 17	9   4		5   0
83	2	21.1	 21	19   8		11   0
83	2	21.2	 21	19   8		11   0
83	2	21.3	 21	19   8		11   0
83	2	21.4	 21	19   8		11   0
83	2	23.1	 23	9   4		5   0
83	2	23.2	 23	9   4		5   0
83	2	25.1	 25	24   19		5   0
83	2	27.1	 27	33   16		17   6
83	2	27.2	 27	60   37		28   11
83	2	27.3	 27	60   37		28   11
83	2	27.4	 27	33   16		17   6
83	2	28.1	 28	25   14		11   0
83	2	28.2	 28	25   14		11   0
83	2	29.1	 29	9   4		5   0
83	2	29.2	 29	9   4		5   0
83	2	31.1	 31	9   4		5   0
83	2	31.2	 31	9   4		5   0
83	2	33.1	 33	19   8		11   0
83	2	33.2	 33	19   8		11   0
83	2	33.3	 33	19   8		11   0
83	2	33.4	 33	19   8		11   0
83	2	36.1	 36	51   28		24   7
83	2	36.2	 36	72   49		23   0
83	2	36.3	 36	51   28		24   7
83	2	37.1	 37	9   4		5   0
83	2	37.2	 37	9   4		5   0
