Table of dimensions of level N homology over Q(sqrt(-19))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
19	2	1.1	 1	0   0		0   0
19	2	4.1	 4	2   1		1   0
19	2	5.1	 5	1   0		1   0
19	2	5.2	 5	1   0		1   0
19	2	7.1	 7	1   0		1   0
19	2	7.2	 7	1   0		1   0
19	2	9.1	 9	3   2		1   0
19	2	11.1	 11	1   0		1   0
19	2	11.2	 11	1   0		1   0
19	2	16.1	 16	6   2		4   0
19	2	17.1	 17	1   0		1   0
19	2	17.2	 17	1   0		1   0
19	2	19.1	 19	2   1		2   1
19	2	20.1	 20	6   3		4   1
19	2	20.2	 20	6   3		4   1
19	2	23.1	 23	1   0		1   0
19	2	23.2	 23	1   0		1   0
19	2	25.1	 25	5   0		3   0
19	2	25.2	 25	6   3		3   0
19	2	25.3	 25	5   0		3   0
19	2	28.1	 28	5   2		3   0
19	2	28.2	 28	5   2		3   0
19	2	35.1	 35	3   0		3   0
19	2	35.2	 35	3   0		3   0
19	2	35.3	 35	3   0		3   0
19	2	35.4	 35	3   0		3   0
19	2	36.1	 36	10   7		3   0
19	2	43.1	 43	1   0		1   0
19	2	43.2	 43	1   0		1   0
19	2	44.1	 44	6   3		4   1
19	2	44.2	 44	6   3		4   1
19	2	45.1	 45	7   4		3   0
19	2	45.2	 45	7   4		3   0
19	2	47.1	 47	1   0		1   0
19	2	47.2	 47	1   0		1   0
19	2	49.1	 49	7   0		4   0
19	2	49.2	 49	8   5		3   0
19	2	49.3	 49	7   0		4   0
19	2	55.1	 55	3   0		3   0
19	2	55.2	 55	3   0		3   0
19	2	55.3	 55	3   0		3   0
19	2	55.4	 55	3   0		3   0
19	2	61.1	 61	1   0		1   0
19	2	61.2	 61	1   0		1   0
19	2	63.1	 63	7   4		3   0
19	2	63.2	 63	7   4		3   0
19	2	64.1	 64	12   5		7   0
19	2	68.1	 68	5   2		3   0
19	2	68.2	 68	5   2		3   0
19	2	73.1	 73	1   0		1   0
19	2	73.2	 73	1   0		1   0
19	2	76.1	 76	9   6		7   4
19	2	77.1	 77	5   2		5   2
19	2	77.2	 77	3   0		3   0
19	2	77.3	 77	3   0		3   0
19	2	77.4	 77	5   2		5   2
19	2	80.1	 80	15   6		11   2
19	2	80.2	 80	15   6		11   2
19	2	81.1	 81	19   10		9   4
19	2	83.1	 83	1   0		1   0
19	2	83.2	 83	1   0		1   0
19	2	85.1	 85	3   0		3   0
19	2	85.2	 85	4   1		4   1
19	2	85.3	 85	4   1		4   1
19	2	85.4	 85	3   0		3   0
19	2	92.1	 92	5   2		3   0
19	2	92.2	 92	5   2		3   0
19	2	95.1	 95	5   2		5   2
19	2	95.2	 95	5   2		5   2
19	2	99.1	 99	7   4		3   0
19	2	99.2	 99	7   4		3   0
19	2	100.1	 100	18   7		10   3
19	2	100.2	 100	24   17		11   4
19	2	100.3	 100	18   7		10   3
