Table of dimensions of level N homology over Q(sqrt(-71))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
71	2	1.1	 1	6   0		6   0
71	2	2.1	 2	13   0		13   0
71	2	2.2	 2	13   0		13   0
71	2	3.1	 3	13   0		13   0
71	2	3.2	 3	13   0		13   0
71	2	4.1	 4	20   0		20   0
71	2	4.2	 4	29   2		27   0
71	2	4.3	 4	20   0		20   0
71	2	5.1	 5	13   0		13   0
71	2	5.2	 5	13   0		13   0
71	2	6.1	 6	28   1		27   0
71	2	6.2	 6	27   0		27   0
71	2	6.3	 6	27   0		27   0
71	2	6.4	 6	28   1		27   0
71	2	8.1	 8	27   0		27   0
71	2	8.2	 8	45   4		41   0
71	2	8.3	 8	45   4		41   0
71	2	8.4	 8	27   0		27   0
71	2	9.1	 9	27   0		20   0
71	2	9.2	 9	32   5		27   0
71	2	9.3	 9	27   0		20   0
71	2	10.1	 10	27   0		27   0
71	2	10.2	 10	27   0		27   0
71	2	10.3	 10	27   0		27   0
71	2	10.4	 10	27   0		27   0
71	2	12.1	 12	44   3		41   0
71	2	12.2	 12	41   0		41   0
71	2	12.3	 12	61   6		55   0
71	2	12.4	 12	61   6		55   0
71	2	12.5	 12	41   0		41   0
71	2	12.6	 12	44   3		41   0
71	2	15.1	 15	29   2		27   0
71	2	15.2	 15	28   1		27   0
71	2	15.3	 15	28   1		27   0
71	2	15.4	 15	29   2		27   0
71	2	16.1	 16	41   0		34   0
71	2	16.2	 16	62   7		55   0
71	2	16.3	 16	73   11		62   0
71	2	16.4	 16	62   7		55   0
71	2	16.5	 16	41   0		34   0
71	2	18.1	 18	58   3		42   1
71	2	18.2	 18	67   12		55   0
71	2	18.3	 18	55   0		41   0
71	2	18.4	 18	55   0		41   0
71	2	18.5	 18	67   12		55   0
71	2	18.6	 18	58   3		42   1
71	2	19.1	 19	13   0		13   0
71	2	19.2	 19	13   0		13   0
71	2	20.1	 20	41   0		41   0
71	2	20.2	 20	41   0		41   0
71	2	20.3	 20	60   5		56   1
71	2	20.4	 20	60   5		56   1
71	2	20.5	 20	41   0		41   0
71	2	20.6	 20	41   0		41   0
