Table of dimensions of level N homology over Q(sqrt(-43))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
43	2	1.1	 1	1   1		0   0
43	2	4.1	 4	5   4		1   0
43	2	9.1	 9	7   6		1   0
43	2	11.1	 11	3   2		1   0
43	2	11.2	 11	3   2		1   0
43	2	13.1	 13	3   2		1   0
43	2	13.2	 13	3   2		1   0
43	2	16.1	 16	14   10		6   2
43	2	17.1	 17	3   2		1   0
43	2	17.2	 17	3   2		1   0
43	2	23.1	 23	3   2		1   0
43	2	23.2	 23	3   2		1   0
43	2	25.1	 25	10   9		1   0
43	2	31.1	 31	5   4		1   0
43	2	31.2	 31	5   4		1   0
43	2	36.1	 36	24   21		5   2
43	2	41.1	 41	3   2		1   0
43	2	41.2	 41	3   2		1   0
43	2	43.1	 43	8   7		6   5
43	2	44.1	 44	11   8		3   0
43	2	44.2	 44	11   8		3   0
43	2	47.1	 47	3   2		1   0
43	2	47.2	 47	3   2		1   0
43	2	49.1	 49	14   13		1   0
43	2	52.1	 52	11   8		3   0
43	2	52.2	 52	11   8		3   0
43	2	53.1	 53	3   2		1   0
43	2	53.2	 53	3   2		1   0
43	2	59.1	 59	3   2		1   0
43	2	59.2	 59	3   2		1   0
43	2	64.1	 64	28   21		11   4
43	2	67.1	 67	3   2		1   0
43	2	67.2	 67	3   2		1   0
43	2	68.1	 68	11   8		3   0
43	2	68.2	 68	11   8		3   0
43	2	79.1	 79	3   2		1   0
43	2	79.2	 79	3   2		1   0
43	2	81.1	 81	43   34		17   12
43	2	83.1	 83	3   2		1   0
43	2	83.2	 83	3   2		1   0
43	2	92.1	 92	11   8		3   0
43	2	92.2	 92	11   8		3   0
43	2	97.1	 97	3   2		1   0
43	2	97.2	 97	3   2		1   0
43	2	99.1	 99	15   12		3   0
43	2	99.2	 99	15   12		3   0
43	2	100.1	 100	34   31		5   2
