Table of dimensions of level N homology over Q(sqrt(-39))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
39	2	1.1	 1	3   0		3   0		1   0
39	2	2.1	 2	7   0		7   0		3   0
39	2	2.2	 2	7   0		7   0		3   0
39	2	3.1	 3	8   1		8   1		4   1
39	2	4.1	 4	11   0		11   0		5   0
39	2	4.2	 4	17   2		16   1		8   1
39	2	4.3	 4	11   0		11   0		5   0
39	2	5.1	 5	7   0		7   0		3   0
39	2	5.2	 5	7   0		7   0		3   0
39	2	6.1	 6	17   2		17   2		9   2
39	2	6.2	 6	17   2		17   2		9   2
39	2	8.1	 8	15   0		15   0		7   0
39	2	8.2	 8	27   4		25   2		13   2
39	2	8.3	 8	27   4		25   2		13   2
39	2	8.4	 8	15   0		15   0		7   0
39	2	9.1	 9	20   5		14   3		7   2
39	2	10.1	 10	15   0		15   0		7   0
39	2	10.2	 10	15   0		15   0		7   0
39	2	10.3	 10	15   0		15   0		7   0
39	2	10.4	 10	15   0		15   0		7   0
39	2	11.1	 11	7   0		7   0		3   0
39	2	11.2	 11	7   0		7   0		3   0
39	2	12.1	 12	26   3		26   3		14   3
39	2	12.2	 12	40   9		38   7		22   7
39	2	12.3	 12	26   3		26   3		14   3
39	2	13.1	 13	8   1		7   0		3   0
39	2	15.1	 15	17   2		17   2		9   2
39	2	15.2	 15	17   2		17   2		9   2
39	2	16.1	 16	23   0		19   0		9   0
39	2	16.2	 16	37   6		34   3		18   3
39	2	16.3	 16	45   10		39   4		21   4
39	2	16.4	 16	37   6		34   3		18   3
39	2	16.5	 16	23   0		19   0		9   0
39	2	18.1	 18	41   10		29   6		15   4
39	2	18.2	 18	41   10		29   6		15   4
39	2	20.1	 20	23   0		23   0		11   0
39	2	20.2	 20	23   0		23   0		11   0
39	2	20.3	 20	35   4		33   2		17   2
39	2	20.4	 20	35   4		33   2		17   2
39	2	20.5	 20	23   0		23   0		11   0
39	2	20.6	 20	23   0		23   0		11   0
39	2	22.1	 22	15   0		15   0		7   0
39	2	22.2	 22	16   1		16   1		8   1
39	2	22.3	 22	16   1		16   1		8   1
39	2	22.4	 22	15   0		15   0		7   0
39	2	24.1	 24	36   5		35   4		19   4
39	2	24.2	 24	64   17		59   12		35   12
39	2	24.3	 24	64   17		59   12		35   12
39	2	24.4	 24	36   5		35   4		19   4
39	2	25.1	 25	25   2		17   2		8   1
39	2	25.2	 25	24   9		18   3		10   3
39	2	25.3	 25	25   2		17   2		8   1
39	2	26.1	 26	17   2		15   0		7   0
39	2	26.2	 26	17   2		15   0		7   0
39	2	27.1	 27	36   13		22   7		10   3
39	2	30.1	 30	37   6		36   5		19   4
39	2	30.2	 30	35   4		35   4		19   4
39	2	30.3	 30	35   4		35   4		19   4
39	2	30.4	 30	37   6		36   5		19   4
39	2	32.1	 32	31   0		23   0		11   0
39	2	32.2	 32	57   10		44   5		23   4
39	2	32.3	 32	62   15		53   6		29   6
39	2	32.4	 32	62   15		53   6		29   6
39	2	32.5	 32	57   10		44   5		23   4
39	2	32.6	 32	31   0		23   0		11   0
39	2	33.1	 33	17   2		17   2		9   2
39	2	33.2	 33	17   2		17   2		9   2
39	2	36.1	 36	64   17		45   10		24   7
39	2	36.2	 36	96   33		66   19		36   13
39	2	36.3	 36	64   17		45   10		24   7
39	2	39.1	 39	22   7		20   5		12   5
39	2	40.1	 40	31   0		31   0		15   0
39	2	40.2	 40	31   0		31   0		15   0
39	2	40.3	 40	55   8		51   4		27   4
39	2	40.4	 40	55   8		51   4		27   4
39	2	40.5	 40	55   8		51   4		27   4
39	2	40.6	 40	55   8		51   4		27   4
39	2	40.7	 40	31   0		31   0		15   0
39	2	40.8	 40	31   0		31   0		15   0
