K = Q(sqrt(-163)) = Q(a), disc(K) = -163, min poly(a) = x^2-x+41.
4 [4,0,2] (2) 2 1 2
9 [9,0,3] (3) 3 1 2
25 [25,0,5] (5) 5 1 2
41 [41,0,1] (a) 41 1 1
41 [41,40,1] (-1+a) 41 1 1
43 [43,1,1] (1+a) 43 1 1
43 [43,41,1] (-2+a) 43 1 1
47 [47,2,1] (2+a) 47 1 1
47 [47,44,1] (-3+a) 47 1 1
49 [49,0,7] (7) 7 1 2
53 [53,3,1] (3+a) 53 1 1
53 [53,49,1] (-4+a) 53 1 1
61 [61,4,1] (4+a) 61 1 1
61 [61,56,1] (-5+a) 61 1 1
71 [71,5,1] (5+a) 71 1 1
71 [71,65,1] (-6+a) 71 1 1
83 [83,6,1] (6+a) 83 1 1
83 [83,76,1] (-7+a) 83 1 1
97 [97,7,1] (7+a) 97 1 1
97 [97,89,1] (-8+a) 97 1 1
