Table of dimensions of weight 2 Bianchi cusp forms over Q(sqrt(-42))
# (with trivial character, and including unramified quadratic twists)
Field	Weight	Level	Norm	dim(SL2)	dim(GL2)	dim(SL2)-dim(GL2)
42	2	1.1	 1		4		0		4
42	2	2.1	 2		16		0		16
42	2	3.1	 3		24		0		24
42	2	4.1	 4		32		0		32
42	2	6.1	 6		40		0		40
42	2	7.1	 7		24		0		24
42	2	8.1	 8		36		0		36
42	2	9.1	 9		56		8		48
42	2	12.1	 12		68		0		68
42	2	13.1	 13		20		0		20
42	2	13.2	 13		20		0		20
42	2	14.1	 14		48		4		44
42	2	16.1	 16		64		0		64
42	2	17.1	 17		24		0		24
42	2	17.2	 17		24		0		24
42	2	18.1	 18		112		16		96
