Table of dimensions of level N homology over Q(sqrt(-10))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
10	2	1.1	 1	2   1		1   0		0   0
10	2	2.1	 2	4   1		3   0		1   0
10	2	4.1	 4	8   3		5   0		2   0
10	2	5.1	 5	4   1		3   0		1   0
10	2	7.1	 7	4   1		3   0		1   0
10	2	7.2	 7	4   1		3   0		1   0
10	2	8.1	 8	12   5		8   1		3   0
10	2	9.1	 9	8   5		3   0		1   0
10	2	10.1	 10	9   2		7   0		3   0
10	2	11.1	 11	8   5		5   2		3   2
10	2	11.2	 11	8   5		5   2		3   2
10	2	13.1	 13	4   1		3   0		1   0
10	2	13.2	 13	4   1		3   0		1   0
10	2	14.1	 14	9   2		7   0		3   0
10	2	14.2	 14	9   2		7   0		3   0
10	2	16.1	 16	22   11		14   3		5   0
10	2	18.1	 18	16   9		8   1		3   0
10	2	19.1	 19	6   3		4   1		2   1
10	2	19.2	 19	6   3		4   1		2   1
10	2	20.1	 20	19   8		12   1		6   1
10	2	22.1	 22	16   9		11   4		7   4
10	2	22.2	 22	16   9		11   4		7   4
10	2	23.1	 23	4   1		3   0		1   0
10	2	23.2	 23	4   1		3   0		1   0
10	2	25.1	 25	24   13		7   0		3   0
10	2	26.1	 26	9   2		7   0		3   0
10	2	26.2	 26	9   2		7   0		3   0
10	2	28.1	 28	16   5		11   0		5   0
10	2	28.2	 28	16   5		11   0		5   0
10	2	32.1	 32	36   21		26   11		10   3
10	2	35.1	 35	10   3		7   0		3   0
10	2	35.2	 35	10   3		7   0		3   0
10	2	36.1	 36	32   21		14   3		5   0
10	2	37.1	 37	4   1		3   0		1   0
10	2	37.2	 37	4   1		3   0		1   0
10	2	38.1	 38	11   4		9   2		5   2
10	2	38.2	 38	11   4		9   2		5   2
10	2	40.1	 40	32   17		20   5		10   3
10	2	41.1	 41	6   3		3   0		1   0
10	2	41.2	 41	6   3		3   0		1   0
10	2	44.1	 44	30   19		18   7		12   7
10	2	44.2	 44	30   19		18   7		12   7
10	2	45.1	 45	18   11		8   1		4   1
10	2	46.1	 46	10   3		7   0		3   0
10	2	46.2	 46	10   3		7   0		3   0
10	2	47.1	 47	4   1		3   0		1   0
10	2	47.2	 47	4   1		3   0		1   0
10	2	49.1	 49	18   3		10   1		5   1
10	2	49.2	 49	20   13		8   1		3   0
10	2	49.3	 49	18   3		10   1		5   1
10	2	50.1	 50	45   22		17   2		8   1
10	2	52.1	 52	16   5		11   0		5   0
10	2	52.2	 52	16   5		11   0		5   0
10	2	53.1	 53	4   1		3   0		1   0
10	2	53.2	 53	4   1		3   0		1   0
10	2	55.1	 55	15   8		11   4		7   4
10	2	55.2	 55	15   8		11   4		7   4
10	2	56.1	 56	25   10		17   2		7   0
10	2	56.2	 56	25   10		17   2		7   0
10	2	59.1	 59	5   2		3   0		1   0
10	2	59.2	 59	5   2		3   0		1   0
10	2	63.1	 63	15   8		7   0		3   0
10	2	63.2	 63	15   8		7   0		3   0
10	2	64.1	 64	66   43		44   25		19   10
10	2	65.1	 65	9   2		7   0		3   0
10	2	65.2	 65	9   2		7   0		3   0
10	2	70.1	 70	22   7		15   0		7   0
10	2	70.2	 70	22   7		15   0		7   0
10	2	72.1	 72	50   35		24   9		8   1
10	2	74.1	 74	9   2		7   0		3   0
10	2	74.2	 74	9   2		7   0		3   0
10	2	76.1	 76	20   9		14   3		8   3
10	2	76.2	 76	20   9		14   3		8   3
10	2	77.1	 77	17   10		11   4		7   4
10	2	77.2	 77	15   8		11   4		7   4
10	2	77.3	 77	15   8		11   4		7   4
10	2	77.4	 77	17   10		11   4		7   4
10	2	80.1	 80	58   35		36   13		18   7
10	2	81.1	 81	46   27		24   13		9   4
10	2	82.1	 82	11   4		7   0		3   0
10	2	82.2	 82	11   4		7   0		3   0
10	2	88.1	 88	46   31		29   14		17   10
10	2	88.2	 88	46   31		29   14		17   10
10	2	89.1	 89	9   6		4   1		1   0
10	2	89.2	 89	9   6		4   1		1   0
10	2	90.1	 90	40   25		20   5		10   3
10	2	91.1	 91	9   2		7   0		3   0
10	2	91.2	 91	9   2		7   0		3   0
10	2	91.3	 91	9   2		7   0		3   0
10	2	91.4	 91	9   2		7   0		3   0
10	2	92.1	 92	18   7		11   0		5   0
10	2	92.2	 92	18   7		11   0		5   0
10	2	94.1	 94	13   6		7   0		3   0
10	2	94.2	 94	13   6		7   0		3   0
10	2	95.1	 95	11   4		9   2		5   2
10	2	95.2	 95	11   4		9   2		5   2
10	2	98.1	 98	35   4		20   1		10   1
10	2	98.2	 98	44   29		20   5		8   1
10	2	98.3	 98	35   4		20   1		10   1
10	2	99.1	 99	24   17		11   4		7   4
10	2	99.2	 99	24   17		11   4		7   4
10	2	100.1	 100	87   52		30   7		15   4
