Table of dimensions of level N homology over Q(sqrt(-6))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
6	2	1.1	 1	1   0		1   0		0   0
6	2	2.1	 2	3   0		3   0		1   0
6	2	3.1	 3	4   1		4   1		1   0
6	2	4.1	 4	6   1		5   0		2   0
6	2	5.1	 5	3   0		3   0		1   0
6	2	5.2	 5	3   0		3   0		1   0
6	2	6.1	 6	9   2		9   2		3   0
6	2	7.1	 7	3   0		3   0		1   0
6	2	7.2	 7	3   0		3   0		1   0
6	2	8.1	 8	8   1		7   0		3   0
6	2	9.1	 9	10   3		7   2		2   0
6	2	10.1	 10	7   0		7   0		3   0
6	2	10.2	 10	7   0		7   0		3   0
6	2	11.1	 11	3   0		3   0		1   0
6	2	11.2	 11	3   0		3   0		1   0
6	2	12.1	 12	15   4		14   3		5   0
6	2	14.1	 14	7   0		7   0		3   0
6	2	14.2	 14	7   0		7   0		3   0
6	2	15.1	 15	9   2		9   2		3   0
6	2	15.2	 15	9   2		9   2		3   0
6	2	16.1	 16	14   3		11   0		5   0
6	2	18.1	 18	21   6		15   4		5   0
6	2	20.1	 20	12   1		11   0		5   0
6	2	20.2	 20	12   1		11   0		5   0
6	2	21.1	 21	9   2		9   2		3   0
6	2	21.2	 21	9   2		9   2		3   0
6	2	22.1	 22	7   0		7   0		3   0
6	2	22.2	 22	7   0		7   0		3   0
6	2	24.1	 24	22   7		20   5		8   1
6	2	25.1	 25	11   0		7   0		3   0
6	2	25.2	 25	12   5		9   2		3   0
6	2	25.3	 25	11   0		7   0		3   0
6	2	27.1	 27	16   5		10   3		3   0
6	2	28.1	 28	14   3		12   1		5   0
6	2	28.2	 28	14   3		12   1		5   0
6	2	29.1	 29	3   0		3   0		1   0
6	2	29.2	 29	3   0		3   0		1   0
6	2	30.1	 30	19   4		19   4		7   0
6	2	30.2	 30	19   4		19   4		7   0
6	2	31.1	 31	3   0		3   0		1   0
6	2	31.2	 31	3   0		3   0		1   0
6	2	32.1	 32	22   7		18   3		8   1
6	2	33.1	 33	11   4		10   3		3   0
6	2	33.2	 33	11   4		10   3		3   0
6	2	35.1	 35	7   0		7   0		3   0
6	2	35.2	 35	7   0		7   0		3   0
6	2	35.3	 35	7   0		7   0		3   0
6	2	35.4	 35	7   0		7   0		3   0
6	2	36.1	 36	37   14		25   8		10   2
6	2	40.1	 40	18   3		15   0		7   0
6	2	40.2	 40	18   3		15   0		7   0
6	2	42.1	 42	20   5		20   5		7   0
6	2	42.2	 42	20   5		20   5		7   0
6	2	44.1	 44	12   1		11   0		5   0
6	2	44.2	 44	12   1		11   0		5   0
6	2	45.1	 45	21   6		15   4		5   0
6	2	45.2	 45	21   6		15   4		5   0
6	2	48.1	 48	36   13		32   9		14   3
6	2	49.1	 49	17   2		10   1		5   1
6	2	49.2	 49	16   9		10   3		3   0
6	2	49.3	 49	17   2		10   1		5   1
6	2	50.1	 50	23   0		15   0		7   0
6	2	50.2	 50	26   11		19   4		7   0
6	2	50.3	 50	23   0		15   0		7   0
6	2	53.1	 53	3   0		3   0		1   0
6	2	53.2	 53	3   0		3   0		1   0
6	2	54.1	 54	33   10		21   6		7   0
