K = Q(sqrt(-19)) = Q(a), disc(K) = -19, min poly(a) = x^2-x+5.
4 [4,0,2] 2 1 2
5 [5,0,1] 5 1 1
5 [5,4,1] 5 1 1
7 [7,1,1] 7 1 1
7 [7,5,1] 7 1 1
9 [9,0,3] 3 1 2
11 [11,2,1] 11 1 1
11 [11,8,1] 11 1 1
17 [17,3,1] 17 1 1
17 [17,13,1] 17 1 1
19 [19,9,1] 19 1 1
23 [23,10,1] 23 1 1
23 [23,12,1] 23 1 1
43 [43,14,1] 43 1 1
43 [43,28,1] 43 1 1
47 [47,6,1] 47 1 1
47 [47,40,1] 47 1 1
