Table of dimensions of level N homology over Q(sqrt(-13))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
13	2	1.1	 1	2   1		1   0		0   0
13	2	2.1	 2	6   3		4   1		1   0
13	2	4.1	 4	11   6		7   2		2   0
13	2	7.1	 7	5   2		3   0		1   0
13	2	7.2	 7	5   2		3   0		1   0
13	2	8.1	 8	18   11		12   5		3   0
13	2	9.1	 9	10   7		4   1		1   0
13	2	11.1	 11	5   2		3   0		1   0
13	2	11.2	 11	5   2		3   0		1   0
13	2	13.1	 13	5   2		3   0		1   0
13	2	14.1	 14	13   6		9   2		3   0
13	2	14.2	 14	13   6		9   2		3   0
13	2	16.1	 16	32   21		22   11		8   3
13	2	17.1	 17	6   3		3   0		1   0
13	2	17.2	 17	6   3		3   0		1   0
13	2	18.1	 18	24   17		12   5		3   0
13	2	19.1	 19	5   2		3   0		1   0
13	2	19.2	 19	5   2		3   0		1   0
13	2	22.1	 22	13   6		9   2		3   0
13	2	22.2	 22	13   6		9   2		3   0
13	2	25.1	 25	16   13		6   3		1   0
13	2	26.1	 26	15   8		11   4		5   2
13	2	28.1	 28	23   12		15   4		5   0
13	2	28.2	 28	23   12		15   4		5   0
13	2	29.1	 29	7   4		4   1		1   0
13	2	29.2	 29	7   4		4   1		1   0
13	2	31.1	 31	5   2		3   0		1   0
13	2	31.2	 31	5   2		3   0		1   0
13	2	32.1	 32	46   31		32   17		13   6
13	2	34.1	 34	15   8		9   2		3   0
13	2	34.2	 34	15   8		9   2		3   0
13	2	36.1	 36	44   33		22   11		5   0
13	2	38.1	 38	14   7		10   3		3   0
13	2	38.2	 38	14   7		10   3		3   0
13	2	44.1	 44	23   12		15   4		5   0
13	2	44.2	 44	23   12		15   4		5   0
13	2	47.1	 47	5   2		3   0		1   0
13	2	47.2	 47	5   2		3   0		1   0
13	2	49.1	 49	19   4		10   1		5   1
13	2	49.2	 49	26   19		10   3		3   0
13	2	49.3	 49	19   4		10   1		5   1
13	2	50.1	 50	36   29		16   9		3   0
