K = Q(sqrt(-11)) = Q(a), disc(K) = -11, min poly(a) = x^2-x+3.
3 [3,0,1] 3 1 1
3 [3,2,1] 3 1 1
4 [4,0,2] 2 1 2
5 [5,1,1] 5 1 1
5 [5,3,1] 5 1 1
11 [11,5,1] 11 2 1
23 [23,4,1] 23 1 1
23 [23,18,1] 23 1 1
31 [31,9,1] 31 1 1
31 [31,21,1] 31 1 1
37 [37,13,1] 37 1 1
37 [37,23,1] 37 1 1
47 [47,20,1] 47 1 1
47 [47,26,1] 47 1 1
49 [49,0,7] 7 1 2
53 [53,12,1] 53 1 1
53 [53,40,1] 53 1 1
59 [59,7,1] 59 1 1
59 [59,51,1] 59 1 1
67 [67,24,1] 67 1 1
67 [67,42,1] 67 1 1
71 [71,14,1] 71 1 1
71 [71,56,1] 71 1 1
89 [89,36,1] 89 1 1
89 [89,52,1] 89 1 1
97 [97,29,1] 97 1 1
97 [97,67,1] 97 1 1
