Table of dimensions of level N homology over Q(sqrt(-31))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
31	2	1.1	 1	2   0		2   0
31	2	2.1	 2	5   0		5   0
31	2	2.2	 2	5   0		5   0
31	2	4.1	 4	8   0		8   0
31	2	4.2	 4	12   1		11   0
31	2	4.3	 4	8   0		8   0
31	2	5.1	 5	5   0		5   0
31	2	5.2	 5	5   0		5   0
31	2	7.1	 7	6   1		5   0
31	2	7.2	 7	6   1		5   0
31	2	8.1	 8	11   0		11   0
31	2	8.2	 8	19   2		17   0
31	2	8.3	 8	19   2		17   0
31	2	8.4	 8	11   0		11   0
31	2	9.1	 9	7   2		5   0
31	2	10.1	 10	13   2		12   1
31	2	10.2	 10	11   0		11   0
31	2	10.3	 10	11   0		11   0
31	2	10.4	 10	13   2		12   1
31	2	14.1	 14	13   2		11   0
31	2	14.2	 14	15   4		12   1
31	2	14.3	 14	15   4		12   1
31	2	14.4	 14	13   2		11   0
31	2	16.1	 16	17   0		14   0
31	2	16.2	 16	26   3		23   0
31	2	16.3	 16	31   5		26   0
31	2	16.4	 16	26   3		23   0
31	2	16.5	 16	17   0		14   0
31	2	18.1	 18	15   4		11   0
31	2	18.2	 18	15   4		11   0
31	2	19.1	 19	5   0		5   0
31	2	19.2	 19	5   0		5   0
31	2	20.1	 20	21   4		19   2
31	2	20.2	 20	17   0		17   0
31	2	20.3	 20	31   8		27   4
31	2	20.4	 20	31   8		27   4
31	2	20.5	 20	17   0		17   0
31	2	20.6	 20	21   4		19   2
31	2	25.1	 25	17   0		11   0
31	2	25.2	 25	16   5		11   0
31	2	25.3	 25	17   0		11   0
31	2	28.1	 28	20   3		17   0
31	2	28.2	 28	24   7		19   2
31	2	28.3	 28	33   10		25   2
31	2	28.4	 28	33   10		25   2
31	2	28.5	 28	24   7		19   2
31	2	28.6	 28	20   3		17   0
31	2	31.1	 31	7   2		7   2
31	2	32.1	 32	23   0		17   0
31	2	32.2	 32	40   5		30   1
31	2	32.3	 32	44   9		36   1
31	2	32.4	 32	44   9		36   1
31	2	32.5	 32	40   5		30   1
31	2	32.6	 32	23   0		17   0
31	2	35.1	 35	13   2		11   0
31	2	35.2	 35	13   2		11   0
31	2	35.3	 35	13   2		11   0
31	2	35.4	 35	13   2		11   0
31	2	36.1	 36	23   6		17   0
31	2	36.2	 36	36   13		23   0
31	2	36.3	 36	23   6		17   0
31	2	38.1	 38	11   0		11   0
31	2	38.2	 38	11   0		11   0
31	2	38.3	 38	11   0		11   0
31	2	38.4	 38	11   0		11   0
31	2	40.1	 40	29   6		26   3
31	2	40.2	 40	24   1		23   0
31	2	40.3	 40	51   16		43   8
31	2	40.4	 40	49   14		42   7
31	2	40.5	 40	49   14		42   7
31	2	40.6	 40	51   16		43   8
31	2	40.7	 40	24   1		23   0
31	2	40.8	 40	29   6		26   3
31	2	41.1	 41	5   0		5   0
31	2	41.2	 41	5   0		5   0
31	2	45.1	 45	15   4		11   0
31	2	45.2	 45	15   4		11   0
31	2	47.1	 47	5   0		5   0
31	2	47.2	 47	5   0		5   0
31	2	49.1	 49	26   3		15   1
31	2	49.2	 49	22   11		11   0
31	2	49.3	 49	26   3		15   1
31	2	50.1	 50	41   6		26   3
31	2	50.2	 50	37   14		25   2
31	2	50.3	 50	35   0		23   0
31	2	50.4	 50	35   0		23   0
31	2	50.5	 50	37   14		25   2
31	2	50.6	 50	41   6		26   3
31	2	56.1	 56	29   6		23   0
31	2	56.2	 56	36   13		26   3
31	2	56.3	 56	52   17		38   3
31	2	56.4	 56	53   18		39   4
31	2	56.5	 56	53   18		39   4
31	2	56.6	 56	52   17		38   3
31	2	56.7	 56	36   13		26   3
31	2	56.8	 56	29   6		23   0
31	2	59.1	 59	5   0		5   0
31	2	59.2	 59	5   0		5   0
31	2	62.1	 62	16   5		16   5
31	2	62.2	 62	16   5		16   5
31	2	63.1	 63	17   6		11   0
31	2	63.2	 63	17   6		11   0
31	2	64.1	 64	35   0		23   0
31	2	64.2	 64	54   7		37   2
31	2	64.3	 64	70   17		49   5
31	2	64.4	 64	68   21		51   4
31	2	64.5	 64	70   17		49   5
31	2	64.6	 64	54   7		37   2
31	2	64.7	 64	35   0		23   0
31	2	67.1	 67	5   0		5   0
31	2	67.2	 67	5   0		5   0
31	2	70.1	 70	32   9		25   2
31	2	70.2	 70	36   13		28   5
31	2	70.3	 70	29   6		24   1
31	2	70.4	 70	32   9		25   2
31	2	70.5	 70	32   9		25   2
31	2	70.6	 70	29   6		24   1
31	2	70.7	 70	36   13		28   5
31	2	70.8	 70	32   9		25   2
31	2	71.1	 71	5   0		5   0
31	2	71.2	 71	5   0		5   0
31	2	72.1	 72	31   8		23   0
31	2	72.2	 72	57   22		35   0
31	2	72.3	 72	57   22		35   0
31	2	72.4	 72	31   8		23   0
