# Table of dimensions of weight 2 Bianchi cuspidal and Eisenstein forms for GL2 over Q(sqrt(-42))
# (with trivial character, and including unramified quadratic twists)
# Field	Weight	Level	dim(all)	dim(cuspidal)	dim(eisenstein)
	42	2	1.1	0		0		0
	42	2	2.1	4		0		4
	42	2	3.1	4		0		4
	42	2	4.1	8		0		8
	42	2	6.1	12		0		12
	42	2	7.1	4		0		4
	42	2	8.1	12		0		12
	42	2	9.1	16		8		8
	42	2	12.1	20		0		20
	42	2	13.1	4		0		4
	42	2	13.2	4		0		4
	42	2	14.1	16		4		12
	42	2	16.1	20		0		20
	42	2	17.1	4		0		4
	42	2	17.2	4		0		4
	42	2	18.1	36		16		20
