Table of dimensions of level N homology over Q(sqrt(-15))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
15	2	1.1	 1	1   0		1   0		0   0
15	2	2.1	 2	3   0		3   0		1   0
15	2	2.2	 2	3   0		3   0		1   0
15	2	3.1	 3	3   0		3   0		1   0
15	2	4.1	 4	5   0		5   0		2   0
15	2	4.2	 4	7   0		7   0		3   0
15	2	4.3	 4	5   0		5   0		2   0
15	2	5.1	 5	3   0		3   0		1   0
15	2	6.1	 6	7   0		7   0		3   0
15	2	6.2	 6	7   0		7   0		3   0
15	2	8.1	 8	7   0		7   0		3   0
15	2	8.2	 8	11   0		11   0		5   0
15	2	8.3	 8	11   0		11   0		5   0
15	2	8.4	 8	7   0		7   0		3   0
15	2	9.1	 9	7   0		5   0		2   0
15	2	10.1	 10	7   0		7   0		3   0
15	2	10.2	 10	7   0		7   0		3   0
15	2	12.1	 12	11   0		11   0		5   0
15	2	12.2	 12	16   1		16   1		7   0
15	2	12.3	 12	11   0		11   0		5   0
15	2	15.1	 15	8   1		8   1		4   1
15	2	16.1	 16	11   0		9   0		4   0
15	2	16.2	 16	15   0		15   0		7   0
15	2	16.3	 16	18   1		17   0		8   0
15	2	16.4	 16	15   0		15   0		7   0
15	2	16.5	 16	11   0		9   0		4   0
15	2	17.1	 17	3   0		3   0		1   0
15	2	17.2	 17	3   0		3   0		1   0
15	2	18.1	 18	15   0		11   0		5   0
15	2	18.2	 18	15   0		11   0		5   0
15	2	19.1	 19	3   0		3   0		1   0
15	2	19.2	 19	3   0		3   0		1   0
15	2	20.1	 20	11   0		11   0		5   0
15	2	20.2	 20	16   1		15   0		7   0
15	2	20.3	 20	11   0		11   0		5   0
15	2	23.1	 23	3   0		3   0		1   0
15	2	23.2	 23	3   0		3   0		1   0
15	2	24.1	 24	16   1		15   0		7   0
15	2	24.2	 24	25   2		25   2		11   0
15	2	24.3	 24	25   2		25   2		11   0
15	2	24.4	 24	16   1		15   0		7   0
15	2	25.1	 25	13   2		7   0		3   0
15	2	27.1	 27	11   0		7   0		3   0
15	2	30.1	 30	18   3		17   2		9   2
15	2	30.2	 30	18   3		17   2		9   2
15	2	31.1	 31	4   1		3   0		1   0
15	2	31.2	 31	4   1		3   0		1   0
15	2	32.1	 32	15   0		11   0		5   0
15	2	32.2	 32	23   0		19   0		9   0
15	2	32.3	 32	24   1		23   0		11   0
15	2	32.4	 32	24   1		23   0		11   0
15	2	32.5	 32	23   0		19   0		9   0
15	2	32.6	 32	15   0		11   0		5   0
15	2	34.1	 34	8   1		8   1		3   0
15	2	34.2	 34	7   0		7   0		3   0
15	2	34.3	 34	7   0		7   0		3   0
15	2	34.4	 34	8   1		8   1		3   0
15	2	36.1	 36	23   0		17   0		8   0
15	2	36.2	 36	36   5		26   3		12   1
15	2	36.3	 36	23   0		17   0		8   0
15	2	38.1	 38	7   0		7   0		3   0
15	2	38.2	 38	8   1		8   1		4   1
15	2	38.3	 38	8   1		8   1		4   1
15	2	38.4	 38	7   0		7   0		3   0
15	2	40.1	 40	15   0		15   0		7   0
15	2	40.2	 40	25   2		23   0		11   0
15	2	40.3	 40	25   2		23   0		11   0
15	2	40.4	 40	15   0		15   0		7   0
15	2	45.1	 45	18   3		13   2		7   2
15	2	46.1	 46	7   0		7   0		3   0
15	2	46.2	 46	7   0		7   0		3   0
15	2	46.3	 46	7   0		7   0		3   0
15	2	46.4	 46	7   0		7   0		3   0
15	2	47.1	 47	3   0		3   0		1   0
15	2	47.2	 47	3   0		3   0		1   0
15	2	48.1	 48	26   3		20   1		10   1
15	2	48.2	 48	36   5		34   3		15   0
15	2	48.3	 48	41   6		40   5		17   0
15	2	48.4	 48	36   5		34   3		15   0
15	2	48.5	 48	26   3		20   1		10   1
15	2	49.1	 49	8   5		4   1		1   0
15	2	50.1	 50	25   2		15   0		7   0
15	2	50.2	 50	25   2		15   0		7   0
15	2	51.1	 51	7   0		7   0		3   0
15	2	51.2	 51	7   0		7   0		3   0
15	2	53.1	 53	3   0		3   0		1   0
15	2	53.2	 53	3   0		3   0		1   0
15	2	54.1	 54	25   2		16   1		8   1
15	2	54.2	 54	25   2		16   1		8   1
15	2	57.1	 57	7   0		7   0		3   0
15	2	57.2	 57	7   0		7   0		3   0
15	2	60.1	 60	28   5		26   3		14   3
15	2	60.2	 60	44   13		38   7		20   5
15	2	60.3	 60	28   5		26   3		14   3
15	2	61.1	 61	3   0		3   0		1   0
15	2	61.2	 61	3   0		3   0		1   0
15	2	62.1	 62	9   2		7   0		3   0
15	2	62.2	 62	11   4		9   2		4   1
15	2	62.3	 62	11   4		9   2		4   1
15	2	62.4	 62	9   2		7   0		3   0
15	2	64.1	 64	23   0		15   0		7   0
15	2	64.2	 64	31   0		23   0		11   0
15	2	64.3	 64	38   3		30   1		14   0
15	2	64.4	 64	36   5		32   1		15   0
15	2	64.5	 64	38   3		30   1		14   0
15	2	64.6	 64	31   0		23   0		11   0
15	2	64.7	 64	23   0		15   0		7   0
15	2	68.1	 68	13   2		13   2		5   0
15	2	68.2	 68	11   0		11   0		5   0
15	2	68.3	 68	17   2		17   2		7   0
15	2	68.4	 68	17   2		17   2		7   0
15	2	68.5	 68	11   0		11   0		5   0
15	2	68.6	 68	13   2		13   2		5   0
15	2	69.1	 69	7   0		7   0		3   0
15	2	69.2	 69	7   0		7   0		3   0
15	2	72.1	 72	34   3		24   1		11   0
15	2	72.2	 72	57   10		41   6		19   2
15	2	72.3	 72	57   10		41   6		19   2
15	2	72.4	 72	34   3		24   1		11   0
15	2	75.1	 75	30   7		20   5		10   3
15	2	76.1	 76	12   1		11   0		5   0
15	2	76.2	 76	14   3		13   2		7   2
15	2	76.3	 76	17   2		17   2		9   2
15	2	76.4	 76	17   2		17   2		9   2
15	2	76.5	 76	14   3		13   2		7   2
15	2	76.6	 76	12   1		11   0		5   0
15	2	79.1	 79	3   0		3   0		1   0
15	2	79.2	 79	3   0		3   0		1   0
15	2	80.1	 80	23   0		19   0		9   0
15	2	80.2	 80	34   3		31   0		15   0
15	2	80.3	 80	41   6		36   1		18   1
15	2	80.4	 80	34   3		31   0		15   0
15	2	80.5	 80	23   0		19   0		9   0
15	2	81.1	 81	27   4		15   2		7   1
15	2	83.1	 83	3   0		3   0		1   0
15	2	83.2	 83	3   0		3   0		1   0
15	2	85.1	 85	7   0		7   0		3   0
15	2	85.2	 85	7   0		7   0		3   0
15	2	90.1	 90	40   9		28   5		15   4
15	2	90.2	 90	40   9		28   5		15   4
15	2	92.1	 92	11   0		11   0		5   0
15	2	92.2	 92	11   0		11   0		5   0
15	2	92.3	 92	17   2		17   2		8   1
15	2	92.4	 92	17   2		17   2		8   1
15	2	92.5	 92	11   0		11   0		5   0
15	2	92.6	 92	11   0		11   0		5   0
15	2	93.1	 93	9   2		7   0		3   0
15	2	93.2	 93	9   2		7   0		3   0
15	2	94.1	 94	7   0		7   0		3   0
15	2	94.2	 94	7   0		7   0		3   0
15	2	94.3	 94	7   0		7   0		3   0
15	2	94.4	 94	7   0		7   0		3   0
15	2	95.1	 95	7   0		7   0		3   0
15	2	95.2	 95	7   0		7   0		3   0
15	2	96.1	 96	36   5		25   2		13   2
15	2	96.2	 96	58   11		45   6		21   2
15	2	96.3	 96	60   13		55   8		23   0
15	2	96.4	 96	60   13		55   8		23   0
15	2	96.5	 96	58   11		45   6		21   2
15	2	96.6	 96	36   5		25   2		13   2
15	2	98.1	 98	17   10		9   2		3   0
15	2	98.2	 98	17   10		9   2		3   0
15	2	100.1	 100	39   4		23   0		11   0
15	2	100.2	 100	60   13		33   2		16   1
15	2	100.3	 100	39   4		23   0		11   0
