Table of dimensions of level N homology over Q(sqrt(-55))

   (The GL2 dimensions include all unramified quadratic character subspaces, while
   the NGL2 dimensions are of just the trivial character subspace.)

Field	Weight	Level	Norm	SL2		GL2		NGL2
				all cuspidal	all cuspidal	all cuspidal
55	2	1.1	 1	4   1		3   0		1   0
55	2	2.1	 2	8   1		7   0		3   0
55	2	2.2	 2	8   1		7   0		3   0
55	2	4.1	 4	13   2		11   0		5   0
55	2	4.2	 4	19   4		15   0		7   0
55	2	4.3	 4	13   2		11   0		5   0
55	2	5.1	 5	10   3		7   0		3   0
55	2	7.1	 7	8   1		7   0		3   0
55	2	7.2	 7	8   1		7   0		3   0
55	2	8.1	 8	17   2		15   0		7   0
55	2	8.2	 8	30   7		23   0		11   0
55	2	8.3	 8	30   7		23   0		11   0
55	2	8.4	 8	17   2		15   0		7   0
55	2	9.1	 9	16   9		9   2		5   2
55	2	10.1	 10	19   4		15   0		7   0
55	2	10.2	 10	19   4		15   0		7   0
55	2	11.1	 11	14   7		10   3		6   3
55	2	13.1	 13	8   1		7   0		3   0
55	2	13.2	 13	8   1		7   0		3   0
55	2	14.1	 14	18   3		15   0		7   0
55	2	14.2	 14	17   2		15   0		7   0
55	2	14.3	 14	17   2		15   0		7   0
55	2	14.4	 14	18   3		15   0		7   0
55	2	16.1	 16	27   4		20   1		10   1
55	2	16.2	 16	41   10		31   0		15   0
55	2	16.3	 16	51   16		35   0		17   0
55	2	16.4	 16	41   10		31   0		15   0
55	2	16.5	 16	27   4		20   1		10   1
55	2	17.1	 17	9   2		7   0		3   0
55	2	17.2	 17	9   2		7   0		3   0
55	2	18.1	 18	31   16		19   4		11   4
55	2	18.2	 18	31   16		19   4		11   4
55	2	20.1	 20	31   8		23   0		11   0
55	2	20.2	 20	46   15		31   0		15   0
55	2	20.3	 20	31   8		23   0		11   0
