Table of dimensions of level N homology over Q(sqrt(-23))

Field	Weight	Level	Norm	SL2		GL2
				all cuspidal	all cuspidal
23	2	1.1	 1	2   0		2   0
23	2	2.1	 2	5   0		5   0
23	2	2.2	 2	5   0		5   0
23	2	3.1	 3	5   0		5   0
23	2	3.2	 3	5   0		5   0
23	2	4.1	 4	8   0		8   0
23	2	4.2	 4	11   0		11   0
23	2	4.3	 4	8   0		8   0
23	2	6.1	 6	12   1		12   1
23	2	6.2	 6	11   0		11   0
23	2	6.3	 6	11   0		11   0
23	2	6.4	 6	12   1		12   1
23	2	8.1	 8	11   0		11   0
23	2	8.2	 8	17   0		17   0
23	2	8.3	 8	17   0		17   0
23	2	8.4	 8	11   0		11   0
23	2	9.1	 9	11   0		8   0
23	2	9.2	 9	12   1		11   0
23	2	9.3	 9	11   0		8   0
23	2	12.1	 12	19   2		19   2
23	2	12.2	 12	17   0		17   0
23	2	12.3	 12	25   2		25   2
23	2	12.4	 12	25   2		25   2
23	2	12.5	 12	17   0		17   0
23	2	12.6	 12	19   2		19   2
23	2	13.1	 13	5   0		5   0
23	2	13.2	 13	5   0		5   0
23	2	16.1	 16	17   0		14   0
23	2	16.2	 16	23   0		23   0
23	2	16.3	 16	27   1		26   0
23	2	16.4	 16	23   0		23   0
23	2	16.5	 16	17   0		14   0
23	2	18.1	 18	26   3		19   2
23	2	18.2	 18	27   4		25   2
23	2	18.3	 18	23   0		17   0
23	2	18.4	 18	23   0		17   0
23	2	18.5	 18	27   4		25   2
23	2	18.6	 18	26   3		19   2
23	2	23.1	 23	7   2		7   2
23	2	24.1	 24	26   3		26   3
23	2	24.2	 24	23   0		23   0
23	2	24.3	 24	39   4		39   4
23	2	24.4	 24	39   4		38   3
23	2	24.5	 24	39   4		38   3
23	2	24.6	 24	39   4		39   4
23	2	24.7	 24	23   0		23   0
23	2	24.8	 24	26   3		26   3
23	2	25.1	 25	8   3		5   0
23	2	26.1	 26	12   1		12   1
23	2	26.2	 26	11   0		11   0
23	2	26.3	 26	11   0		11   0
23	2	26.4	 26	12   1		12   1
23	2	27.1	 27	17   0		11   0
23	2	27.2	 27	26   3		18   1
23	2	27.3	 27	26   3		18   1
23	2	27.4	 27	17   0		11   0
23	2	29.1	 29	5   0		5   0
23	2	29.2	 29	5   0		5   0
23	2	31.1	 31	5   0		5   0
23	2	31.2	 31	5   0		5   0
23	2	32.1	 32	23   0		17   0
23	2	32.2	 32	35   0		29   0
23	2	32.3	 32	38   3		36   1
23	2	32.4	 32	38   3		36   1
23	2	32.5	 32	35   0		29   0
23	2	32.6	 32	23   0		17   0
23	2	36.1	 36	41   6		30   4
23	2	36.2	 36	42   7		39   4
23	2	36.3	 36	35   0		26   0
23	2	36.4	 36	55   8		40   5
23	2	36.5	 36	62   15		55   8
23	2	36.6	 36	55   8		40   5
23	2	36.7	 36	35   0		26   0
23	2	36.8	 36	42   7		39   4
23	2	36.9	 36	41   6		30   4
23	2	39.1	 39	11   0		11   0
23	2	39.2	 39	11   0		11   0
23	2	39.3	 39	11   0		11   0
23	2	39.4	 39	11   0		11   0
23	2	41.1	 41	5   0		5   0
23	2	41.2	 41	5   0		5   0
23	2	46.1	 46	15   4		15   4
23	2	46.2	 46	15   4		15   4
23	2	47.1	 47	5   0		5   0
23	2	47.2	 47	5   0		5   0
23	2	48.1	 48	40   5		33   4
23	2	48.2	 48	35   0		29   0
23	2	48.3	 48	54   7		54   7
23	2	48.4	 48	53   6		51   4
23	2	48.5	 48	63   10		59   6
23	2	48.6	 48	63   10		59   6
23	2	48.7	 48	53   6		51   4
23	2	48.8	 48	54   7		54   7
23	2	48.9	 48	35   0		29   0
23	2	48.10	 48	40   5		33   4
23	2	49.1	 49	10   5		5   0
23	2	50.1	 50	17   6		11   0
23	2	50.2	 50	17   6		11   0
23	2	52.1	 52	20   3		20   3
23	2	52.2	 52	17   0		17   0
